Selected_Features,accuracy,weighted_accuracy,accuracy_home,accuracy_draw,accuracy_away,macro_avg_recall,micro_avg_recall,weighted_recall,recall_home,recall_draw,recall_away,macro_avg_precision,micro_avg_precision,weighted_precision,precision_home,precision_draw,precision_away,macro_avg_f_mesure,micro_avg_f_mesure,weighted_f_mesure,f_mesure_home,f_mesure_draw,f_mesure_away,log_loss,loss_home,loss_draw,loss_away,mse,mse_home,mse_draw,mse_away,classwise_ECE,ECE_home,ECE_draw,ECE_away
away_defence_team_width_Wide,0.5253381424706942,0.6708250635630602,0.6104598737601442,0.7356176735798016,0.7045987376014428,0.4572189934468532,0.5253381424706942,0.5253381424706942,0.8206965668386228,0.002631578947368421,0.5483288345545683,0.3790729885010668,0.5253381424706942,0.4119811226583255,0.5350006605823395,0.1,0.5022183049208607,0.39195056410808726,0.7126314914088756,0.4420254499188213,0.6475145891631563,0.005128205128205127,0.5232088980329002,0.9778470489503924,0.3124301114097672,0.3567850207403759,0.30863191680024926,0.19430919487467632,0.21192618446153316,0.1912398176663606,0.17976158249613525,0.025270164975097913,0.02497028436692833,0.02408551158045005,0.026754698977915364
home_defence_pressure_Medium,0.5242560865644725,0.6701297117363387,0.6099188458070334,0.7354373309287647,0.703155996393147,0.45601953221268854,0.5242560865644725,0.5242560865644725,0.819371297493676,0.002631578947368421,0.5460557201970212,0.374385249535775,0.5242560865644725,0.4080522929495716,0.5346718474028096,0.08888888888888888,0.4995950123156264,0.3908171085107266,0.7106445626907584,0.4410153691635547,0.6468107647253444,0.005111821086261981,0.5205287397205736,0.9780864367389739,0.3124088855291339,0.3569721767800166,0.30870537442982343,0.19435592180555972,0.21197879474567277,0.19129968237315423,0.17978928829785223,0.02493601183997505,0.024874590929508996,0.024274912889561868,0.025658531700854283
home_build_up_speed_Slow,0.5237150586113616,0.6696600728037916,0.6090171325518485,0.7347159603246167,0.7036970243462578,0.4557469115949693,0.5237150586113616,0.5237150586113616,0.8178139217431097,0.003947368421052632,0.5454794446207456,0.37164221746330384,0.5237150586113616,0.40567513357285,0.5341056598346187,0.08,0.5008209925552928,0.39143321489061955,0.7096689896513597,0.4413368787693358,0.6459251882409779,0.007523510971786834,0.520850945459094,0.9780203565444007,0.3123181378658429,0.3567991295240324,0.3089030891545253,0.19434541247269368,0.21201237996984781,0.19124393951238236,0.17977991793585088,0.024898099565376055,0.02538981662188843,0.024004270838947617,0.02530021123529212
away_defence_aggression_Press,0.5238954012623985,0.6698334229083952,0.6093778178539224,0.7343552750225429,0.7040577096483318,0.45583727889401915,0.5238954012623985,0.5238954012623985,0.8191289212589419,0.003947368421052632,0.5444355470020629,0.3686861445171911,0.5238954012623985,0.4033031864662807,0.5342998644076316,0.07058823529411765,0.5011703338498241,0.3915363303913452,0.7100245885352224,0.441491154199061,0.6465090378576761,0.007476635514018691,0.520623317802341,0.9780192893568451,0.3121258893322607,0.3570618929028861,0.3088315071216982,0.19434313807079565,0.212002232339158,0.19124012029166723,0.1797870615815617,0.02501379755684748,0.026069650012331635,0.024141849092252136,0.024829893565958657
trueskill_home_before,0.5237150586113616,0.6697908171603595,0.6097385031559964,0.7339945897204689,0.7036970243462578,0.4556682738832397,0.5237150586113616,0.5237150586113616,0.8187028523497663,0.003947368421052632,0.5443546008789004,0.366152162281278,0.5237150586113616,0.4012566011632259,0.5345954622077097,0.06315789473684211,0.5007031298992823,0.3914384738305505,0.7096933128550096,0.4414296207856105,0.6465878612641541,0.007430340557275541,0.5202972196702219,0.9779989509320602,0.3126121182477332,0.3564715486420319,0.30891528404229507,0.19434063443329302,0.21200164436721547,0.19123231337169128,0.17978794556097227,0.02467761503385946,0.0245996866172581,0.022993593841722837,0.026439564642597446
away_build_up_positioning_Organised,0.5217312894499548,0.6685170353879766,0.6084761045987375,0.7332732191163209,0.7017132551848513,0.45380102218083185,0.5217312894499548,0.5217312894499548,0.8164437352916412,0.0033260233918128656,0.5416333078590416,0.3900226060309585,0.5217312894499548,0.4193755013612444,0.5337914575917633,0.13999999999999999,0.4962763605011121,0.38946526642910817,0.706177742312377,0.43959401965204226,0.6453207839253715,0.006317581949765857,0.5167574334121874,0.9780389965420359,0.3131711418721622,0.35657742354907507,0.3082904311207986,0.19434156882621365,0.21204131426860506,0.19121992336063715,0.1797634688493987,0.024794172289241738,0.024097637618866942,0.024438816616460086,0.025846062632398192
away_defence,0.5219116321009919,0.6686531461173887,0.6086564472497746,0.7332732191163209,0.7018935978358882,0.4540182854244109,0.5219116321009919,0.5219116321009919,0.8164437352916412,0.00398391812865497,0.5416272028529365,0.39196246613208297,0.5219116321009919,0.4209966383896117,0.5339067415098587,0.14545454545454545,0.4965261114318446,0.3899363392544996,0.7064998135223067,0.44000157793523675,0.6454112406340843,0.00751427966998096,0.5168834974594336,0.9780429263183278,0.3131578196223024,0.3565479961098489,0.3083371105861764,0.19433853476165122,0.21203335987116803,0.19122203793928522,0.1797602064745003,0.024499551191851036,0.02461837585773163,0.02331492572625315,0.02556535199156833
home_attack,0.5229936880072137,0.6690213118179726,0.6068530207394048,0.7336339044183949,0.7055004508566276,0.4549073230158774,0.5229936880072137,0.5229936880072137,0.820013224172038,0.003947368421052632,0.5407613764545414,0.36496845940781186,0.5229936880072137,0.4001301504070801,0.532486570613307,0.06,0.5024188076101288,0.3908174627039165,0.7084752020072316,0.44073080100457035,0.6454677832957264,0.007407407407407407,0.5195771974086155,0.9780969535101984,0.31216710445311335,0.35622524190188537,0.3097046071551998,0.1943367409552683,0.21194782149474448,0.1912216769628242,0.1798407244082362,0.024144350991078475,0.024100670032985237,0.02416538719509015,0.02416699574516005
home_defence_domestic_prestige,0.5231740306582506,0.6691120523042473,0.6068530207394048,0.7343552750225429,0.7051397655545536,0.45496464587632135,0.5231740306582506,0.5231740306582506,0.8207990696172468,0.004641812865497076,0.5394530551462201,0.400296144344923,0.5231740306582506,0.42772720951816934,0.5324433683835844,0.16666666666666666,0.5017783979845183,0.39101947338718857,0.7087772517001714,0.4409100724464565,0.645661582874848,0.00883272649389591,0.5185641107928216,0.9780025456325399,0.31184716265925755,0.35606240658919314,0.3100929763840893,0.1943134355520314,0.21191056162338398,0.19115651946251028,0.17987322557019997,0.02380829207316685,0.022714370270827827,0.025196152062814548,0.023514353885858184
away_attack,0.5228133453561767,0.6689450442766414,0.6066726780883679,0.7345356176735798,0.7044183949504056,0.4552024039743462,0.5228133453561767,0.5228133453561767,0.817650640091834,0.005308479532163743,0.5426480922990409,0.4067374995968772,0.5228133453561767,0.4333960571563373,0.5324117518537758,0.18725490196078431,0.5005458449760717,0.3915054096023267,0.7081145882088219,0.4411814788148595,0.6447027927270013,0.010166995434438296,0.5196464406455406,0.9779893630279523,0.3128114449857634,0.3554026694317142,0.3097752486104746,0.19430586364359037,0.21192795907840617,0.1910775602872435,0.17991207156512143,0.024527698847853587,0.02426377197807353,0.025500849828704042,0.023818474736783175
away_league_INT,0.5237150586113616,0.6695507939386005,0.6070333633904419,0.7347159603246167,0.7056807935076645,0.455965756012343,0.5237150586113616,0.5237150586113615,0.8188435684127476,0.005966374269005847,0.5430873253552754,0.419525892408665,0.5237150586113616,0.4435290188032913,0.5325989076076327,0.2236842105263158,0.5022945590920465,0.39246430658580694,0.7097755429798032,0.4421268140483591,0.64522424144359,0.011363830468666595,0.5208048478451641,0.9779527481527813,0.3124495051328536,0.35548133357080053,0.31002190944912705,0.1943014839660275,0.21193984197340612,0.19107450424545566,0.17989010567922076,0.02559489625646978,0.025791834438084325,0.024698579801663047,0.02629427452966196
away_league_ITA-Serie A,0.5233543733092876,0.6692808491228013,0.6066726780883679,0.7347159603246167,0.7053201082055908,0.4556581022115149,0.5233543733092876,0.5233543733092876,0.8184483114957516,0.005966374269005847,0.5425596208697873,0.4192699773580343,0.5233543733092876,0.4432571328410244,0.5323252384238892,0.2236842105263158,0.5018004831238979,0.39218377542537924,0.70910810345147,0.4418154181534525,0.6448990486274383,0.011363830468666595,0.5202884471800329,0.9779621451812652,0.31247605401617606,0.35545937549246476,0.3100267156726244,0.194303668593921,0.21194463573064531,0.1910746107587304,0.17989175929238727,0.02545209849827936,0.02528888745621604,0.024833941772749522,0.026233466265872522
home_chance_creation_crossing_Normal,0.5235347159603246,0.669411756096728,0.6068530207394048,0.7347159603246167,0.7055004508566276,0.45588256910264846,0.5235347159603246,0.5235347159603246,0.8184483114957516,0.005966374269005847,0.543233021543188,0.41945171864047304,0.5235347159603246,0.44342705221330336,0.5324508739746212,0.2236842105263158,0.5022200714204821,0.3924030911866387,0.7094271763275424,0.44200990907141924,0.6449951627731392,0.011363830468666595,0.5208502803181103,0.9779619468769024,0.31250106434382274,0.3554415003042848,0.31001938222879477,0.1943037309861307,0.21194514887173535,0.19107338572727484,0.1798926583593819,0.02533808979489232,0.025315483592598352,0.024456064922126215,0.026242720869952395
